linux-api-headers 6.3-1
linux-firmware 20230404.2e92a49f-1
linux-firmware-whence 20230404.2e92a49f-1
linux-headers 6.3.5.arch1-1
linux-zen 6.3.5.zen2-1
linux-zen-headers 6.3.5.zen2-1
llvm-libs 15.0.7-3
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.30-3
logrotate 3.21.0-2
lsb-release 2.0.r48.3cf5103-1
lsscsi 0.32-1
lua 5.4.6-1
luajit 2.1.0.beta3.r481.g51fb2f2c-1
luit 20230201-1
lv2 1.18.10-1
lvm2 2.03.21-1
lxappearance-gtk3 0.6.3-4
lz4 1:1.9.4-1
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.53-1
make 4.4.1-2
mallard-ducktype 1.0.2-9
man-db 2.11.2-1
man-pages 6.04-1
mbedtls 3.4.0-3
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2
meld 3.22.0-2
menu-cache 1.1.0-4
mesa 23.1.1-1
mesa-utils 9.0.0-2
meson 1.1.1-1
miniupnpc 2.2.4-2
minizip 1:1.2.13-2
mjpegtools 2.2.1-2
mlocate 0.26.git.20170220-7
mobile-broadband-provider-info 20230416-1
modemmanager 1.20.6-1
mousetweaks 3.32.0-2
mpfr 4.2.0.p9-1
mpg123 1.31.3-1
mpv 1:0.35.1-6
mtdev 1.1.6-2
mtools 1:4.0.43-1
mujs 1.3.3-1
nano 7.2-1
nano-syntax-highlighting 2020.10.10-1
ncurses 6.4_20230520-1
ndctl 76.1-1
neofetch 7.1.0-2
neon 0.32.5-2
net-tools 2.10-2
netctl 1.28-2
nettle 3.9.1-1
network-manager-applet 1.32.0-2
networkmanager 1.42.6-1
networkmanager-openconnect 1.2.10-1
networkmanager-openvpn 1.10.2-2
nfs-utils 2.6.3-1
nfsidmap 2.6.3-1
nftables 1:1.0.7-2
nilfs-utils 2.2.9-2
ninja 1.11.1-3
nm-connection-editor 1.32.0-2
no-fwl-appimage 0.1.0-1
noto-fonts 20230601-1
npth 1.6-4
nspr 4.35-1
nss 3.89.1-1
nss-mdns 0.15.1-1
ntfs-3g 2022.10.3-1
ntp 4.2.8.p16-1
oath-toolkit 2.6.7-1
obs-studio 29.1.1-2
ocl-icd 2.3.1-1
oniguruma 6.9.8-1
openal 1.23.1-1
openconnect 1:9.12-1
opencore-amr 0.1.6-1
openexr 3.1.7-3
openjpeg2 2.5.0-2
openmpi 4.1.5-2
openpmix 4.2.3-2
openresolv 3.13.1-1
